,date,open,close,high,low,volume,code
2688,2018-06-26,58.515,58.654,59.02,57.228,717927.0,601318
2689,2018-06-27,58.515,56.931,58.861,56.871,697084.0,601318
2690,2018-06-28,56.545,56.267,57.376,55.97,735991.0,601318
2691,2018-06-29,56.555,58.0,58.05,56.535,645112.0,601318
2692,2018-07-02,57.703,54.673,57.703,54.109,900189.0,601318
2693,2018-07-03,55.05,55.782,56.0,53.792,949167.0,601318
2694,2018-07-04,55.673,54.97,56.317,54.822,519493.0,601318
2695,2018-07-05,55.149,54.98,55.713,54.634,548434.0,601318
2696,2018-07-06,55.426,56.376,57.079,54.99,824311.0,601318
2697,2018-07-09,57.03,58.297,58.327,56.634,696043.0,601318
2698,2018-07-10,58.416,57.604,58.465,56.98,555627.0,601318
2699,2018-07-11,56.188,56.525,56.941,56.0,473781.0,601318
2700,2018-07-12,56.673,57.802,58.307,56.673,647707.0,601318
2701,2018-07-13,58.188,57.961,58.337,57.703,393785.0,601318
2702,2018-07-16,57.723,57.149,58.198,56.812,431942.0,601318
2703,2018-07-17,57.327,57.446,57.683,56.852,379943.0,601318
2704,2018-07-18,57.703,57.238,58.525,57.178,464485.0,601318
2705,2018-07-19,57.782,58.129,58.713,57.772,703699.0,601318
2706,2018-07-20,58.02,60.238,61.0,57.654,1069350.0,601318
2707,2018-07-23,59.753,60.475,60.99,59.654,804573.0,601318
2708,2018-07-24,60.456,61.129,62.376,60.426,836847.0,601318
2709,2018-07-25,61.614,61.545,61.624,60.792,409006.0,601318
2710,2018-07-26,61.663,60.198,61.861,60.079,482593.0,601318
2711,2018-07-27,60.376,60.267,60.723,59.97,334171.0,601318
2712,2018-07-30,60.297,60.951,61.307,60.149,376370.0,601318
2713,2018-07-31,60.99,60.99,61.277,60.218,260698.0,601318
2714,2018-08-01,61.188,59.109,61.792,59.03,563434.0,601318
2715,2018-08-02,58.822,57.683,58.901,57.228,646804.0,601318
2716,2018-08-03,57.852,57.248,58.178,57.208,362083.0,601318
